"a1","d","g","u","definition"
0.351444974643904,0.608919727734672,0,1,"¡am!"
0.856215560966083,1.56343902236861,0,1,"¡ay!"
0.966801227706906,-0.163715886571898,0,1,"¡pum!"
1.66248443928333,-0.0453916163504891,0,1,"(nombre del niño/a)"
0.846454597296774,-0.213325315030322,0,1,"a"
1.92699381985935,-0.282595080225692,0,1,"a ver..."
3.01375219415187,-1.38617624078578,0,1,"abajo"
2.26266142622402,-2.30224935342044,0,1,"abeja"
2.26705821615507,-3.21109290836062,0,1,"abrigo"
3.00408093119672,0.0189640953246498,0,1,"abrir"
1.68815732395257,0.980201401344974,0,1,"abuela"
1.59477164285658,0.230247326176728,0,1,"abuelo"
2.22334587170194,-1.08779416294419,0,1,"acabar"
1.48158509944047,-2.35235045907389,0,1,"acerrín"
3.44847054330589,-3.61142887416503,0,1,"acompañar"
3.34278923447501,-0.92940304272399,0,1,"acostar(se)"
3.3541094871213,-2.86733680514285,0,1,"adentro"
1.94297069102318,1.94654565712444,0,1,"adíos/byebye"
3.08007665885087,-2.04859385280753,0,1,"afuera"
3.55715535041785,-2.75666543945768,0,1,"agarrar"
2.4160459827172,4.34301337858134,0,1,"agua"
1.53097160920029,-0.271069639261497,0,1,"ahí"
1.48032242198112,-1.4836214560271,0,1,"ahí te voy"
2.45944458440882,-2.14170169629339,0,1,"ahorita/ahora"
1.64393104174064,-1.78182444129156,0,1,"al agua patos..."
2.94866272840061,-3.40481152538786,0,1,"al rato"
2.40845177303451,-2.77200718211278,0,1,"alberca/piscina"
1.22315539324172,-0.320262221189499,0,1,"allá"
1.09588515168196,-1.42405296839854,0,1,"allí"
3.32327078858038,-1.31642049149787,0,1,"almohada"
2.01760446181538,-3.39444541316633,0,1,"almorzar"
2.45706891770087,-3.27381171394644,0,1,"alto"
2.77175877164501,-2.78473505032928,0,1,"amarillo"
3.53007270465888,-3.95813697931255,0,1,"amarrar(se)"
2.47003945404513,-2.12063009469107,0,1,"amiga"
2.60653716700324,-2.27119796618843,0,1,"amigo"
2.30566999622961,-2.61707223886544,0,1,"andar"
2.694232825435,-1.54936443220591,0,1,"animal"
2.64463641785967,-5.5477215032792,0,1,"antes"
3.67815711171043,-1.53594775357832,0,1,"apagar"
3.10047486066766,-3.29492944104153,0,1,"apurar(se)"
1.77258641729502,-2.62915246308064,0,1,"aquel"
2.07504041521391,-3.93511202128192,0,1,"aquella"
2.89662201894706,-5.91333856451842,0,1,"aquellas"
2.4214414463422,-5.12894379919067,0,1,"aquellos"
1.98586891570576,-0.78527088432874,0,1,"aquí"
2.57361941684788,-0.575355523914897,0,1,"araña"
3.31990004305165,-0.73384901915048,0,1,"árbol"
2.31404311475903,-2.92912633032828,0,1,"ardilla"
2.60036665083132,-1.69894072310441,0,1,"aretes"
3.77682060507744,-4.70827282677786,0,1,"arreglar(se)"
2.788142679298,-1.21064011485782,0,1,"arriba"
2.84661453909045,-0.759025494104802,0,1,"arroz"
1.81106638011113,-1.06460249020998,0,1,"así"
2.71002359371493,-4.78969056144838,0,1,"aspiradora"
3.2697207951529,-1.97139694258503,0,1,"asustar(se)"
1.72003004962734,-1.61250856880354,0,1,"atole"
3.23493346778848,-3.3445435435681,0,1,"atrás"
2.27158364043545,-1.81157406966928,0,1,"atún"
1.65265604308112,-1.80015517445438,0,1,"autobús"
3.00628680512756,-2.41849653926152,0,1,"aventar"
2.47108294768663,0.0799741286857733,0,1,"avión"
2.32438178839683,-3.57916724232868,0,1,"ayer"
3.71213112497164,-2.56747861320664,0,1,"ayudar"
3.2794199104993,-1.14334723629926,0,1,"azúcar"
2.54374777526693,-2.28064768915185,0,1,"azul"
2.65825868814009,-1.29389752177019,0,1,"babero"
1.86979268874229,-1.54458910962908,0,1,"bacinica"
2.81003230338944,-0.58488156418993,0,1,"bailar"
3.18478511192728,-1.14194682631482,0,1,"bajar(se)"
2.5807891794984,-2.34832604527262,0,1,"banco (outside)"
2.59804994669652,-3.21812141063465,0,1,"banco (places)"
2.9999228626429,-2.76291792405833,0,1,"bandera"
4.0921319564953,0.258281567201532,0,1,"baño"
2.78482174171309,-2.9619877327711,0,1,"barba"
3.00371276585272,-2.2129945303736,0,1,"barco"
4.00364829536326,-2.42077775068032,0,1,"barrer"
4.02652465975965,-0.266348044860919,0,1,"basura"
1.76128107239913,-3.28815745203219,0,1,"bat"
2.03383448664214,2.03499050673041,0,1,"bebé"
0.693814715805248,-0.370002390161944,0,1,"bee/mee"
2.99397505815495,-1.36813065925139,0,1,"besar"
1.62708745107608,0.487542508229432,0,1,"besitos"
1.35327269581162,-1.8664087163902,0,1,"bicho"
2.5685633769267,-1.05076861281128,0,1,"bicicleta"
1.9131143700533,-1.49794898506124,0,1,"bien"
3.02836547948247,-2.84217131588887,0,1,"bigote"
2.7812189522459,-3.13954056566116,0,1,"blanco"
4.12104352264784,1.2345303716315,0,1,"boca"
3.41557735465534,-1.02273206422228,0,1,"bolsa (clothing)"
4.46099837199033,-0.77693935102158,0,1,"bolsa (household)"
3.13864558536955,-1.64411922019591,0,1,"bonita"
2.32000383365912,-1.95688631988803,0,1,"borrego"
2.92706077822616,-4.37156609879086,0,1,"bosque"
2.63579649410694,-1.93450201517062,0,1,"botas"
2.03777070730214,0.491645600443902,0,1,"botella/mamila"
2.68866029506553,-1.0943051775222,0,1,"botón"
1.83299870117064,1.36571734714385,0,1,"bravo"
3.24685090314319,-1.40059644472519,0,1,"brazo"
3.39032757979281,-1.2335719930661,0,1,"brincar"
2.71022525902722,-1.54301582301829,0,1,"buenas noches"
2.17834446044397,-1.78381910115015,0,1,"bueno"
2.54379186882682,-1.57431167171387,0,1,"buenos días"
1.56169673040623,-2.08557421508543,0,1,"buey"
2.89825709334486,-4.41336209465624,0,1,"bufanda"
1.91635789235817,-2.36139082852433,0,1,"búho"
2.60843265371158,-2.79467430890564,0,1,"burbujas"
2.30009136071238,-0.936447741308877,0,1,"burro"
4.56734118194716,-3.43270683997008,0,1,"buscar"
2.67745324897818,0.510348999453384,0,1,"caballo"
3.29243124339799,-3.63110890756578,0,1,"caber"
4.08798901853615,0.552618233849853,0,1,"cabeza"
3.06821115436257,-2.53018348947549,0,1,"cacahuete/maní"
3.1896501966382,-1.81572836857274,0,1,"cachete"
2.30537730065745,-0.597356351567755,0,1,"caer(se)"
2.79010236214545,-1.32981663028535,0,1,"café"
3.75395515706818,-1.49808374814992,0,1,"caja"
