item,include,rename_to
animal,1,
apple,1,
baby,1,
ball,1,
balloon,1,
banana,1,
bear,1,
bed,1,
belt,1,
bib,1,
bicycle,1,bike
bike,1,
bird,1,
birdie,1,bird
birdy,1,bird
black,0,
blocks,1,
blue,0,
boat,1,
book,1,
boot,1,
bottle,1,
bowl,1,
box,1,
boy,1,
brown,0,
brush,1,
bucket,1,
bus,1,
butterfly,1,
cake,1,
can,1,
candy,1,
car,1,
carrot,1,
carrots,1,carrot
cat,1,
chair,1,
chalk,1,
chicken,1,
chocolate,1,
clock,1,
clown,1,
coat,1,
comb,1,
cookie,1,
cow,1,
crib,1,
cup,1,
dish,1,
dog,1,dog
doggie,1,dog
doggy,1,
donut,1,
door,1,
dress,1,
drink,0,
duck,1,
ear,1,
elephant,1,
fish,1,
flag,1,
flower,1,
food,1,
foot,1,
frog,1,
giraffe,1,
glasses,1,
glove,1,
goose,1,
grapes,1,
green,0,
hammer,1,
hand,1,
hat,1,
horse,1,
hose,1,
jacket,1,
jeans,1,
juice,1,
keys,1,
kitty,1,cat
knife,1,
ladder,1,
lamb,1,
lamp,1,
light,1,
lion,1,
lollipop,1,
milk,1,
monkey,1,
mouse,1,
mouth,1,
muffin,1,
necklace,1,
orange,0,
pajamas,1,
pan,1,
pants,1,
peas,1,
pig,1,
pizza,1,
plate,1,
pony,0,
pudding,1,
puppy,1,
purse,1,
puzzle,1,
rabbit,1,
red,0,
rooster,1,
scissors,1,
sheep,1,
shirt,1,
shoe,1,
shorts,1,
shovel,1,
sink,1,
slide,1,
slipper,1,
sock,1,
spoon,1,
strawberry,1,
table,1,
tape,1,
teddy bear,1,bear
television,1,
toothbrush,1,
toy,1,
train,1,
tree,1,
truck,1,
white,0,
window,1,
yellow,0,
zebra,1,
zipper,1,
